	Place	Performance	Time	Price
0	[北京]北京 MAO Livehouse	【没人比我跳得高】结冰水+梯云纵+春日玫瑰+时光胶囊（夜场）	时间：2021/11/06 19:30	价格：¥149起
1	[北京]爱乐汇艺术空间	11.07“爱乐之城”——经典电影音乐作品音乐会	时间：2021/11/07 14:00	价格：¥100起
2	[北京]爱乐汇艺术空间	11.7听见国潮Chinese music “一生必听”的国风经典名曲燃情音乐会	时间：2021/11/07 16:30	价格：¥100起
3	[北京]北京 天桥艺术中心	大船文化x北京天桥艺术中心 音乐剧《拉赫玛尼诺夫》中文版	时间：2021/11/09 19:30	价格：¥252起
4	[北京]北京 天桥艺术中心	大船文化x北京天桥艺术中心 音乐剧《拉赫玛尼诺夫》中文版	时间：2021/11/10 19:00	价格：¥252起
5	[北京]北京 MAO Livehouse	【金属核心之夜】全场酒水无限畅饮	时间：2021/11/10 20:00	价格：¥80起
6	[北京]疆进酒·OMNI SPACE	枕边海浪 PillowWavesVOL.2  悶餅MOONBAND  ✖️ 靴腿THE BOOTLEGS ✖️ ICU（I'll call you.）✖️ 桶桶barrel barrel	时间：2021/11/11 20:00	价格：¥180起
7	[北京]糖果LIVE三层	【北京】2021.11.11光棍节“唱给单身汪”演唱会-贵族狂欢不孤单	时间：2021/11/11 19:30	价格：¥180起
8	[北京]疆进酒·OMNI SPACE	大粉「梦如浪潮」2021巡演 北京站	时间：2021/11/12 20:30	价格：¥80起
9	[北京]北京 MAO Livehouse	 【飞狗诚献】「逃离孤独星球」全场酒水畅饮	时间：2021/11/12 20:00	价格：¥119起
10	[北京]北京 MAO Livehouse	【继续冲浪】脆莓+跳大海+香蕉俱乐部+XX	时间：2021/11/13 19:30	价格：¥179起
11	[北京]爱乐汇艺术空间	11.13“爱乐之城”——经典电影音乐作品音乐会	时间：2021/11/13 19:30	价格：¥100起
12	[北京]完美世界脱口秀剧场	WM【精品脱口秀节】夜场爆笑段子专场｜北京脱口秀俱乐部｜巨制盛宴X解压开心大会笑心果｜爆梗之夜	时间：2021/11/13 19:30	价格：¥100起
13	[北京]爱乐汇艺术空间	11.14 “爱乐之城”——经典电影音乐作品音乐会	时间：2021/11/14 14:00	价格：¥100起
14	[北京]爱乐汇艺术空间	11.14听见国潮Chinese music “一生必听”的国风经典名曲燃情音乐会	时间：2021/11/14 16:30	价格：¥100起
15	[北京]北京 MAO Livehouse	A公馆+自画像 無人驾驶 联合专场	时间：2021/11/14 19:30	价格：¥90起
16	[北京]北京 MAO Livehouse	新学校废物合唱团2021新专辑《与爱情无关》巡演 北京站	时间：2021/11/18 20:30	价格：¥150起
17	[北京]爱乐汇艺术空间	11.18《卡农 Canon In D》永恒经典名曲精选音乐会	时间：2021/11/18 19:30	价格：¥100起
18	[北京]北京 MAO Livehouse	北京站加场 新学校废物合唱团2021新专辑《与爱情无关》巡演 	时间：2021/11/19 20:30	价格：¥100起
19	[北京]糖果LIVE三层	马良「不确定因素」2021巡演-北京站	时间：2021/11/19 20:30	价格：¥120起
20	[北京]北京 MAO Livehouse	【没人比我跳得高】结冰水+梯云纵+春日玫瑰+时光胶囊（夜场）	时间：2021/11/06 19:30	价格：¥149起
